scenario,rebalance_bps,roll_bps,observations,total_return,annual_return,annualized_mean_return,annual_volatility,sharpe,max_drawdown,calmar,daily_hit_rate,average_rebalance_turnover,average_roll_turnover,total_transaction_cost
low,2.0,1.0,1432.0,-0.13271046516746787,-0.02474482281028123,-0.02302864403720271,0.0636700541701408,-0.3616872066052428,-0.2560982704641439,-0.09662237376861056,0.4958100558659218,0.12694740955041234,0.022819192271880822,0.03962544642857144
base,5.0,3.0,1432.0,-0.18410457066519648,-0.03517255946796827,-0.03377595548971667,0.06368910124468402,-0.5303255161342989,-0.2847172266739475,-0.1235350592545887,0.48812849162011174,0.12694740955041234,0.022819192271880822,0.10069747023809524
stressed,10.0,6.0,1432.0,-0.26228461948069615,-0.05212430438479543,-0.05149646002882283,0.06372268691874887,-0.8081338455562087,-0.344255048798057,-0.15141188071688091,0.47695530726256985,0.12694740955041234,0.022819192271880822,0.20139494047619047
