period,purpose,configured_start,configured_end,observed_start,observed_end,observations,total_return,annual_return,annualized_mean_return,annual_volatility,sharpe,max_drawdown,calmar,daily_hit_rate,average_rebalance_turnover,average_roll_turnover,total_transaction_cost
train,拟合模型和因子参数,2020-01-01,2022-12-31,2020-02-11,2022-12-30,706.0,-0.1142439330188536,-0.04237763413065698,-0.040396554086899676,0.07623484713613977,-0.5298961774627782,-0.1965620393101254,-0.21559419244626246,0.47592067988668557,0.12700239444219616,0.02216123701605288,0.049525595238095244
validation,比较模型、选择超参数和策略规则,2023-01-01,2024-12-31,2023-01-03,2024-12-31,484.0,-0.09028944367093128,-0.0480754871064778,-0.04814178675079472,0.04740296980001085,-1.0155858789839725,-0.09829031356909468,-0.4891172421856443,0.4690082644628099,0.12780862603305784,0.024083161157024795,0.03442656250000001
test,冻结方案后的样本外评价,2025-01-01,2025-12-31,2025-01-02,2025-12-30,242.0,0.012551520550272866,0.013073554387637909,0.01427034591513039,0.050689250519089506,0.2815260783892671,-0.047535431275497864,0.2750275749444325,0.5619834710743802,0.1250645661157025,0.02221074380165289,0.0167453125
