trade_date,gross_return,rebalance_turnover,roll_turnover,active_products,transaction_cost,net_return,nav,drawdown
2020-02-11,-9.625692931581174e-05,0.5,0.0,28,0.00025,-0.0003462569293158118,0.9996537430706842,0.0
2020-02-12,-0.0016580474361637715,0.17857142857142855,0.0,28,8.928571428571427e-05,-0.0017473331504494858,0.9979070149464458,-0.0017473331504495038
2020-02-13,0.0003828296909543942,0.07142857142857142,0.0,28,3.571428571428571e-05,0.00034711540524010845,0.9982534038443309,-0.0014008242714640406
2020-02-14,-0.005059451045682537,0.07142857142857142,0.0,28,3.571428571428571e-05,-0.005095165331396823,0.9931671377091144,-0.006488852171597559
2020-02-17,-0.0017565028074804881,0.10714285714285714,0.0,28,5.357142857142857e-05,-0.0018100742360519168,0.9913694314610536,-0.008287181103512231
2020-02-18,-0.00013597063825078676,0.10714285714285714,0.0,28,5.357142857142857e-05,-0.00018954206682221533,0.9911815252500301,-0.00847515240089991
2020-02-19,-0.003422053889495438,0.14285714285714285,0.0,28,7.142857142857142e-05,-0.003493482460924009,0.9877188499759773,-0.011939027065557717
2020-02-20,0.0002644778751719518,0.07142857142857142,0.0,28,3.571428571428571e-05,0.00022876358945766607,0.9879448040854727,-0.011712994690786238
2020-02-21,0.005806772002841615,0.21428571428571427,0.0,28,0.00010714285714285714,0.005699629145698758,0.9935757230851799,-0.006080125271010428
2020-02-24,-0.0015647310646569796,0.07142857142857142,0.0,28,3.571428571428571e-05,-0.0016004453503712652,0.9919855594389265,-0.00767083971316207
2020-02-25,0.0008428454298443871,0.10714285714285714,0.0,28,5.357142857142857e-05,0.0007892740012729586,0.9927685078506299,-0.0068876201062426645
2020-02-26,0.002467332369387997,0.07142857142857142,0.0,28,3.571428571428571e-05,0.002431618083673711,0.9951825417072212,-0.004472750084172805
2020-02-27,0.00729985220617663,0.10714285714285714,0.07142857142857142,28,7.5e-05,0.00722485220617663,1.0023725884892232,0.0
2020-02-28,-0.0024655763738774417,0.10714285714285714,0.03571428571428571,28,6.428571428571429e-05,-0.002529862088163156,0.9998367240793903,-0.002529862088163193
2020-03-02,-0.0046855301904388,0.07142857142857142,0.0,28,3.571428571428571e-05,-0.004721244476153086,0.9951162504687755,-0.007239162466907034
2020-03-03,0.0024203464834491196,0.39285714285714285,0.03571428571428571,28,0.00020714285714285716,0.0022132036263062625,0.9973186453629093,-0.005041980581223959
2020-03-04,-0.0012142859941709097,0.25,0.0,28,0.000125,-0.0013392859941709096,0.9959829504694493,-0.006374513921419522
2020-03-05,0.001087848107803911,0.10714285714285714,0.03571428571428571,28,6.428571428571429e-05,0.0010235623935181968,0.9970024011621351,-0.005357476240628212
2020-03-06,0.004803839527177136,0.07142857142857142,0.0,28,3.571428571428571e-05,0.00476812524146285,1.0017562334769154,-0.0006148961168588318
2020-03-09,0.011999850245696239,0.17857142857142855,0.03571428571428571,28,9.999999999999999e-05,0.01189985024569624,1.0136769826379834,0.0
2020-03-10,0.002692650735426064,0.14285714285714285,0.0,28,7.142857142857142e-05,0.0026212221639974925,1.0163340552120081,0.0
